Date,Sales
2022-01-01,1239.4
2022-01-02,1355.04
2022-01-03,1527.62
2022-01-04,1175.67
2022-01-05,1290.56
2022-01-06,919.21
2022-01-07,1133.15
2022-01-08,1251.11
2022-01-09,1535.8
2022-01-10,1431.54
2022-01-11,1281.75
2022-01-12,1393.21
2022-01-13,1343.5
2022-01-14,1099.17
2022-01-15,1384.68
2022-01-16,1367.42
2022-01-17,1471.67
2022-01-18,1403.7
2022-01-19,1091.17
2022-01-20,1172.07
2022-01-21,1067.02
2022-01-22,1193.84
2022-01-23,1375.52
2022-01-24,1221.69
2022-01-25,1201.6
2022-01-26,1276.33
2022-01-27,1244.32
2022-01-28,1297.67
2022-01-29,1256.21
2022-01-30,1511.78
2022-01-31,1643.96
2022-02-01,1514.57
2022-02-02,1075.16
2022-02-03,948.43
2022-02-04,1233.19
2022-02-05,1449.04
2022-02-06,1411.44
2022-02-07,1554.68
2022-02-08,1385.48
2022-02-09,1249.46
2022-02-10,1173.43
2022-02-11,1189.47
2022-02-12,1225.43
2022-02-13,1610.73
2022-02-14,1524.16
2022-02-15,1260.95
2022-02-16,1158.59
2022-02-17,981.59
2022-02-18,1187.81
2022-02-19,1070.6
2022-02-20,1313.4
2022-02-21,1466.06
2022-02-22,1356.28
2022-02-23,1221.35
2022-02-24,923.05
2022-02-25,1178.69
2022-02-26,1181.09
2022-02-27,1466.27
2022-02-28,1295.73
2022-03-01,1441.72
2022-03-02,1152.07
2022-03-03,1102.87
2022-03-04,986.88
2022-03-05,1094.19
2022-03-06,1205.43
2022-03-07,1392.14
2022-03-08,1128.31
2022-03-09,1028.92
2022-03-10,1092.8
2022-03-11,1034.01
2022-03-12,1048.96
2022-03-13,1221.72
2022-03-14,1038.11
2022-03-15,934.44
2022-03-16,1027.35
2022-03-17,1214.41
2022-03-18,1143.65
2022-03-19,1311.46
2022-03-20,1184.11
2022-03-21,1070.62
2022-03-22,1169.87
2022-03-23,757.09
2022-03-24,464.91
2022-03-25,876.62
2022-03-26,1055.58
2022-03-27,1121.89
2022-03-28,1240.59
2022-03-29,1053.49
2022-03-30,861.16
2022-03-31,600.01
2022-04-01,727.83
2022-04-02,706.72
2022-04-03,909.26
2022-04-04,1198.49
2022-04-05,901.82
2022-04-06,779.16
2022-04-07,556.97
2022-04-08,968.93
2022-04-09,523.19
2022-04-10,754.49
2022-04-11,995.38
2022-04-12,697.8
2022-04-13,549.49
2022-04-14,611.71
2022-04-15,656.49
2022-04-16,752.86
2022-04-17,672.42
2022-04-18,881.44
2022-04-19,551.62
2022-04-20,443.4
2022-04-21,339.59
2022-04-22,514.34
2022-04-23,536.87
2022-04-24,569.03
2022-04-25,702.83
2022-04-26,481.93
2022-04-27,400.84
2022-04-28,329.71
2022-04-29,314.84
2022-04-30,366.43
2022-05-01,441.61
2022-05-02,739.11
2022-05-03,265.0
2022-05-04,405.72
2022-05-05,179.28
2022-05-06,207.03
2022-05-07,182.44
2022-05-08,497.23
2022-05-09,450.55
2022-05-10,550.38
2022-05-11,212.64
2022-05-12,100.0
2022-05-13,100.0
2022-05-14,423.06
2022-05-15,481.36
2022-05-16,388.06
2022-05-17,535.73
2022-05-18,226.42
2022-05-19,100.0
2022-05-20,180.64
2022-05-21,100.0
2022-05-22,341.7
2022-05-23,211.22
2022-05-24,323.62
2022-05-25,189.02
2022-05-26,100.0
2022-05-27,167.85
2022-05-28,100.0
2022-05-29,316.14
2022-05-30,254.85
2022-05-31,100.0
2022-06-01,120.12
2022-06-02,149.99
2022-06-03,336.4
2022-06-04,100.0
2022-06-05,237.59
2022-06-06,404.3
2022-06-07,100.0
2022-06-08,151.15
2022-06-09,100.0
2022-06-10,100.0
2022-06-11,100.0
2022-06-12,100.0
2022-06-13,252.6
2022-06-14,100.0
2022-06-15,100.0
2022-06-16,100.0
2022-06-17,100.0
2022-06-18,100.0
2022-06-19,172.7
2022-06-20,121.12
2022-06-21,100.0
2022-06-22,100.0
2022-06-23,100.0
2022-06-24,100.0
2022-06-25,100.0
2022-06-26,100.0
2022-06-27,100.0
2022-06-28,100.0
2022-06-29,100.0
2022-06-30,100.0
2022-07-01,100.0
2022-07-02,100.0
2022-07-03,155.68
2022-07-04,100.0
2022-07-05,100.0
2022-07-06,100.0
2022-07-07,100.0
2022-07-08,100.0
2022-07-09,100.0
2022-07-10,100.0
2022-07-11,103.24
2022-07-12,100.0
2022-07-13,100.0
2022-07-14,100.0
2022-07-15,100.0
2022-07-16,100.0
2022-07-17,100.0
2022-07-18,100.0
2022-07-19,100.0
2022-07-20,100.0
2022-07-21,100.0
2022-07-22,100.0
2022-07-23,100.0
2022-07-24,100.0
2022-07-25,100.0
2022-07-26,100.0
2022-07-27,100.0
2022-07-28,100.0
2022-07-29,100.0
2022-07-30,100.0
2022-07-31,100.0
2022-08-01,100.0
2022-08-02,100.0
2022-08-03,100.0
2022-08-04,100.0
2022-08-05,100.0
2022-08-06,100.0
2022-08-07,100.0
2022-08-08,100.0
2022-08-09,100.0
2022-08-10,100.0
2022-08-11,100.0
2022-08-12,100.0
2022-08-13,100.0
2022-08-14,100.0
2022-08-15,120.83
2022-08-16,100.0
2022-08-17,100.0
2022-08-18,100.0
2022-08-19,100.0
2022-08-20,100.0
2022-08-21,100.0
2022-08-22,100.0
2022-08-23,125.11
2022-08-24,100.0
2022-08-25,100.0
2022-08-26,100.0
2022-08-27,100.0
2022-08-28,100.0
2022-08-29,324.66
2022-08-30,100.0
2022-08-31,100.0
2022-09-01,100.0
