Date,Region,Category,Product,Quantity,Price,Sales,Profit
2024-01-01,West,Clothing,Jacket,5,9719,48595,11923.75
2024-01-01,West,Clothing,Shirt,9,1414,12726,2460.12
2024-01-01,East,Groceries,Beverages,6,18667,112002,10434.15
2024-01-02,South,Electronics,Smartwatch,5,19692,98460,30994.31
2024-01-04,South,Groceries,Beverages,4,9670,38680,8180.74
2024-01-04,North,Clothing,Jeans,1,6814,6814,433.51
2024-01-04,West,Electronics,Mobile,6,13434,80604,23879.62
2024-01-04,West,Furniture,Bookshelf,4,7648,30592,5247.89
2024-01-04,North,Stationery,Notebook,7,16599,116193,22019.8
2024-01-04,West,Furniture,Sofa,1,5371,5371,612.63
2024-01-05,South,Furniture,Bookshelf,6,13916,83496,17919.46
2024-01-05,East,Groceries,Beverages,5,16223,81115,14591.93
2024-01-06,East,Electronics,Headphones,3,11250,33750,6684.19
2024-01-06,South,Stationery,Pen,1,606,606,126.94
2024-01-07,North,Furniture,Sofa,7,3652,25564,7999.82
2024-01-08,West,Stationery,Notebook,1,7029,7029,1528.39
2024-01-08,West,Electronics,Smartwatch,8,6883,55064,6829.27
2024-01-08,East,Furniture,Chair,1,14024,14024,2570.68
2024-01-08,West,Electronics,Laptop,5,15331,76655,14169.28
2024-01-08,North,Furniture,Chair,7,10191,71337,6908.93
2024-01-08,East,Stationery,Marker,8,6781,54248,9785.19
2024-01-09,West,Groceries,Snacks,6,12462,74772,18402.11
2024-01-09,East,Electronics,Headphones,3,4699,14097,4456.43
2024-01-10,West,Electronics,Laptop,4,13622,54488,14402.66
2024-01-10,South,Furniture,Table,4,13404,53616,8827.18
2024-01-11,East,Groceries,Beverages,3,3879,11637,3437.52
2024-01-11,North,Groceries,Oil,5,6580,32900,6015.73
2024-01-12,North,Groceries,Rice,3,4980,14940,1563.25
2024-01-12,West,Furniture,Bookshelf,8,867,6936,1045.24
2024-01-12,South,Electronics,Laptop,6,8278,49668,3802.42
2024-01-12,West,Groceries,Rice,8,3876,31008,7849.11
2024-01-12,North,Clothing,Shirt,1,13300,13300,1619.94
2024-01-12,North,Furniture,Bookshelf,2,1439,2878,736.16
2024-01-12,East,Groceries,Rice,4,19620,78480,6411.77
2024-01-13,North,Electronics,Laptop,8,5265,42120,4081.79
2024-01-13,North,Electronics,Laptop,2,5439,10878,1980.19
2024-01-13,South,Stationery,Pen,5,16252,81260,23602.87
2024-01-13,North,Furniture,Bookshelf,5,10768,53840,14971.2
2024-01-13,West,Groceries,Rice,2,9595,19190,5522.94
2024-01-14,North,Electronics,Mobile,9,15579,140211,20762.37
2024-01-14,South,Stationery,Pen,9,17306,155754,36353.37
2024-01-14,West,Stationery,Notebook,2,7235,14470,3617.27
2024-01-15,West,Clothing,Jacket,3,17197,51591,8815.2
2024-01-15,South,Clothing,Jacket,8,2770,22160,4874.52
2024-01-15,West,Groceries,Snacks,9,11060,99540,28826.46
2024-01-15,North,Stationery,Pen,5,12037,60185,17579.42
2024-01-16,West,Stationery,Pen,2,8702,17404,3282.1
2024-01-16,West,Furniture,Chair,4,18271,73084,18501.25
2024-01-16,North,Stationery,Files,4,2219,8876,2160.43
2024-01-16,West,Groceries,Oil,6,19251,115506,20635.34
2024-01-16,South,Electronics,Headphones,5,19741,98705,32044.23
2024-01-16,North,Groceries,Snacks,5,12153,60765,9031.38
2024-01-17,East,Furniture,Chair,1,1541,1541,520.01
2024-01-17,South,Stationery,Marker,3,10288,30864,7279.91
2024-01-18,South,Furniture,Chair,7,19560,136920,26570.02
2024-01-19,East,Stationery,Files,9,6771,60939,4423.59
2024-01-19,West,Electronics,Smartwatch,9,4371,39339,6155.43
2024-01-19,North,Furniture,Sofa,3,12375,37125,8482.54
2024-01-20,South,Furniture,Chair,8,8049,64392,18703.42
2024-01-21,West,Groceries,Beverages,7,1782,12474,1619.5
2024-01-21,East,Furniture,Sofa,3,4855,14565,4381.5
2024-01-22,North,Clothing,Shirt,2,5778,11556,3708.42
2024-01-22,East,Groceries,Rice,7,5785,40495,6901.71
2024-01-22,North,Stationery,Pen,8,15288,122304,20083.16
2024-01-22,East,Stationery,Pen,3,19537,58611,5294.36
2024-01-22,East,Clothing,Jacket,1,11845,11845,1129.03
2024-01-23,South,Groceries,Oil,6,19230,115380,23850.43
2024-01-23,South,Stationery,Files,6,17264,103584,24186.52
2024-01-23,East,Furniture,Table,8,11673,93384,21799.21
2024-01-23,North,Stationery,Notebook,3,13656,40968,5011.43
2024-01-23,North,Clothing,Jeans,5,8525,42625,10735.01
2024-01-24,West,Clothing,Jeans,7,228,1596,194.23
2024-01-24,West,Groceries,Rice,4,1155,4620,286.59
2024-01-25,South,Clothing,Jacket,9,8571,77139,13691.1
2024-01-25,West,Clothing,Shoes,2,19139,38278,7122.46
2024-01-25,West,Clothing,Shoes,2,10193,20386,2449.25
2024-01-25,East,Groceries,Oil,9,6571,59139,12486.13
2024-01-26,North,Clothing,Shoes,5,14326,71630,9413.36
2024-01-26,West,Stationery,Pen,6,9101,54606,13446.62
2024-01-26,South,Electronics,Headphones,8,10817,86536,13692.74
2024-01-26,West,Furniture,Sofa,7,16905,118335,7133.04
2024-01-27,East,Furniture,Bookshelf,8,15094,120752,37317.85
2024-01-27,East,Groceries,Oil,7,1188,8316,1024.9
2024-01-27,North,Electronics,Mobile,5,8453,42265,5796.38
2024-01-28,West,Groceries,Beverages,7,15907,111349,17469.47
2024-01-28,South,Furniture,Chair,8,5326,42608,10914.02
2024-01-29,South,Clothing,Shirt,3,12001,36003,3516.83
2024-01-29,North,Furniture,Bookshelf,9,17900,161100,20054.73
2024-01-29,North,Furniture,Table,4,6782,27128,8541.91
2024-01-29,North,Clothing,Jeans,9,6241,56169,9539.16
2024-01-29,West,Clothing,Jeans,6,17172,103032,34590.38
2024-01-29,East,Stationery,Pen,8,14007,112056,34618.76
2024-01-30,North,Stationery,Notebook,1,12556,12556,701.06
2024-01-30,East,Stationery,Marker,2,9221,18442,6322.1
2024-01-31,South,Electronics,Smartwatch,1,16209,16209,1492.03
2024-01-31,South,Groceries,Snacks,2,8212,16424,4974.56
2024-01-31,West,Furniture,Table,5,3941,19705,6357.04
2024-01-31,North,Groceries,Rice,7,4599,32193,4691.71
2024-02-01,North,Groceries,Snacks,1,9850,9850,1486.3
2024-02-01,North,Clothing,Jeans,6,18263,109578,24539.61
2024-02-02,South,Electronics,Mobile,8,3763,30104,2819.85
2024-02-02,West,Stationery,Marker,8,11165,89320,28239.75
2024-02-02,North,Furniture,Bookshelf,3,12453,37359,6058.74
2024-02-02,West,Furniture,Chair,6,17445,104670,5926.4
2024-02-03,West,Groceries,Snacks,7,14689,102823,20508.0
2024-02-03,North,Electronics,Laptop,6,13075,78450,8780.62
2024-02-03,West,Electronics,Mobile,3,13012,39036,1952.42
2024-02-03,East,Electronics,Smartwatch,9,19323,173907,42394.21
2024-02-04,South,Clothing,Jacket,8,18914,151312,51119.5
2024-02-04,South,Stationery,Notebook,1,7205,7205,2436.98
2024-02-04,East,Electronics,Laptop,5,16492,82460,11230.98
2024-02-04,West,Groceries,Oil,9,19000,171000,13074.75
2024-02-05,West,Electronics,Smartwatch,6,10029,60174,18274.12
2024-02-05,South,Clothing,Shirt,5,2870,14350,1126.65
2024-02-06,East,Clothing,Jacket,9,17197,154773,37634.66
2024-02-07,West,Clothing,Jacket,9,18433,165897,23371.45
2024-02-07,East,Clothing,Jacket,1,846,846,42.9
2024-02-07,North,Electronics,Mobile,1,2032,2032,408.88
2024-02-08,South,Groceries,Rice,1,8636,8636,1674.82
2024-02-08,East,Groceries,Oil,8,6407,51256,11833.36
2024-02-08,South,Electronics,Smartwatch,6,7570,45420,13054.75
